Sample Site,,Connects to ->,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Isla Tortuga,1,x,,,,,,,,29.8,52.8,,27.2,19.2,11.8,7,4.4,5.6,4.2,11.2,8.2,,,
Barahona Beach,2,16,x,,,,,,,,,,,,,29.8,13.2,9.8,4.4,8.2,15.4,,19,17
Punta Moreno,3,,,x,19.8,3.4,6.4,8.8,7.2,15.4,,,,,,,,,,,,,,
Marielas-Bahia Elizabeth,4,,27.8,3.4,x,6.6,14,11.6,10.6,18.8,,,,,,,,,41,,,,,
Cabo Hammond,5,6.6,7.2,12.8,16.4,x,8.6,2,12,25.6,,37.8,54.2,,,16.4,15.4,11.8,11,13.2,14.6,,,21
Punta Mangle,6,7,7.6,6,13.2,4,x,9.4,6,17.2,,33.2,,,28,16.6,15.4,12,11.4,14.2,12,,,
Cabo Douglas,7,7,7,11.2,31,1.2,12.8,x,14.8,11,,,,54.6,,19.2,16.2,15.6,11,15.2,14.8,,,
Punta Espinosa,8,11.2,11.4,4.4,8.4,7.6,2.4,5,x,5.6,,,,,,,,,26.6,,,,,
Punta Vicente Roca,9,11,10.8,7,10.8,9.8,3.8,8.4,3.4,x,,,,,,22.8,22,16,16.8,18.6,19,,,22.6
Roca Redonda,10,,25.4,12.8,17,4.6,7.2,5.6,5.6,4.4,x,3.4,35.6,9.2,7.4,4.8,6,17.6,17.6,16.6,,,,
Cabo Marshall,11,26.4,,,,,,,,19.4,25,x,12,10.6,10.2,4.4,11.2,12.6,9.2,16.2,20.2,,,
Cabo Ibbetson,12,,,,,,,,,,5.4,,x,,,,,,,,,,,
Punta Calle,13,,,,,,16.4,,,0.6,,,,x,,,13.2,,,,,,,
Salvaje de Corazon,14,,,,,,,,,,,,,,x,,,,,,,,,
Cerca a Puerto Egas,15,10.6,23.8,,29.6,47,,44.4,52.6,15.6,14.4,20.2,10.4,7.6,15,x,1.2,4.6,4.2,8.2,6.8,34.2,30.2,
Playa Roja,16,11.6,41.4,,,17.6,,,,,33.6,19,18.2,16.8,11.4,6.6,x,5.4,5,8.6,6.4,14.2,,
Sombrero Chino,17,12.2,,,,,,,,33.8,28,45.8,18.8,22,9,7.8,10.2,x,2.4,4,5.8,,,
Daphne Mayor,18,,,,,,,,35.2,28.2,37.4,23.2,18.2,19.2,9,,,,x,3.6,,,,
Islas Plaza,19,,30,,,,,33,,,29,53.2,20.4,18,7.8,,,,6.8,x,,,,
Bahía Santa fe,20,,,,,,36,,,38.2,34,37.8,25.6,13.2,9,,,,26.6,5,x,,,
Las Cuevas,21,,,,29.6,24.2,33.2,23.4,24.6,,,34,37.2,22,20.8,14.6,13.6,15.8,11.4,11.8,6.4,x,4,4.6
Punta Suarez,22,,,,,,,,,26.8,46.4,39.4,51,20.2,22.6,,24.8,,30.2,21.4,15.2,16.4,x,0.6
Bahía Gardner,23,,,,,,,,,,,,,,23.2,,,,,31.6,18.8,16.2,5.6,x
