,SiteID,Location,island,latitude,longitude,lat2,lon2,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,BAR,Barahona Beach,Isabela,"S 01º02,325´","W 091º 09,382´",-1.03875,-91.1563666666667,22.256,23.25,22.729,24.02,25.584,23.909,22.552,22.039,21.571,22.466,23.17,24.012
2,CDOU,Cabo Douglas,Fernandina,"S 00º18,169´","W 091º 39,104´",-0.302816666666667,-91.6517333333333,18.814,20.871,20.325,19.522,20.22,18.772,18.55,17.267,17.565,18.852,19.626,20.731
3,CHAM,Cabo Hammond,Fernandina,"S 00º28,175´","W 091º 36,671´",-0.469583333333333,-91.6111833333333,19.09,21.316,21.075,19.803,20.708,19.558,19.216,18.017,18.401,19.575,20.4,21.564
4,CMAR,Cabo Marshall,Isabela,"S 00º00,080´","W 091º 13,431´",-0.00133333333333333,-91.22385,21.675,23.676,24.965,24.539,25.187,23.028,22.515,22.405,21.862,22.341,22.542,23.766
5,CORA,Salvaje de Corazón,Genovesa,"N 00º18,679´","W 089º 58,509´",0.311316666666667,-89.97515,23.295,24.658,24.023,24.715,25.641,23.133,22.704,22.683,22.51,22.663,23.332,23.927
6,CUEV,Las Cuevas,Floreana,"S 01º15,201´","W 090º 22,446´",-1.25335,-90.3741,22.525,24.509,25.074,25.185,24.624,22.925,22.301,21.805,21.4,22.033,22.571,23.466
7,DAPH,Daphne Mayor,Seymour,"S 00º25,548´","W 090º 22,327´",-0.4258,-90.3721166666667,22.124,23.869,23.91,24.168,24.477,22.346,22.207,22.128,21.649,21.726,22.451,23.47
8,EGAS,Cerca a Puerto Egas,Santiago,"S 00º15,576´","W 090º 52,127´",-0.2596,-90.8687833333333,22.296,23.657,24.339,24.455,24.893,23.224,22.718,22.423,21.751,22.121,22.577,23.847
9,ELI,Marielas-Bahia Elizabeth,Isabela,"S 00º35,703´","W 091º 05,154´",-0.59505,-91.0859,19.83,22.696,22.209,21.349,20.923,19.466,18.921,17.714,18.264,19.2,20.17,21.626
10,GARD,Bahía Gardner,Española,"S 01º21,928´","W 089º 38,359´",-1.36546666666667,-89.6393166666667,22.716,24.88,25.971,26.238,24.924,23.013,22.392,21.603,21.327,22.108,22.775,23.35
11,PCAL,Punta Calle,Marchena,"N 00º17,186´","W 090º 30,109´",0.286433333333333,-90.5018166666667,23.04,24.087,24.07,24.735,25.063,23.221,22.788,22.52,22.338,22.525,23.193,23.853
12,PESP,Punta Espinosa,Fernandina,"S 00º16,337´","W 091º 26,123´",-0.272283333333333,-91.4353833333333,18.947,20.622,20.192,19.46,20.877,19.573,19.037,17.723,18.233,19.187,20.218,21.495
13,PIN,Cabo Ibbetson,Pinta,"N 00º36,233´","W 090º 47,390´",0.603883333333333,-90.7898333333333,22.743,22.735,21.294,19.596,22.151,22.074,22.281,22.347,22.239,22.225,22.882,23.512
14,PLAZ,Islas Plaza,Santa Cruz,"S 00º34,054´","W 090º 10,417´",-0.567566666666667,-90.1736166666667,22.174,24.241,25.272,24.587,24.797,22.785,22.469,22.148,21.644,22.075,22.663,23.526
15,PMAN,Punta Mangle,Fernandina,"S 00º27,514´","W 091º 23,450´",-0.458566666666667,-91.3908333333333,19.432,21.728,21.843,21.015,21.561,20.423,19.751,18.588,19.083,20.021,20.735,22.323
16,PMOR,Punta Moreno,Isabela,"S 00º43,338´","W 091º 20,704´",-0.7223,-91.3450666666667,18.23,20.8,20.896,19.966,20.449,18.997,18.426,17.098,17.382,18.667,19.564,20.854
17,PROJ,Playa Roja,Rábida,"S 00º24,537´","W 090º 42,932´",-0.40895,-90.7155333333333,22.478,24.307,24.338,24.818,25.375,23.46,22.651,22.48,21.895,22.355,22.813,23.837
18,PVIC,Punta Vicente Roca,Isabela,"S 00º02,722´","W 091º 32,581´",-0.0453666666666667,-91.5430166666667,19.981,21.518,20.427,19.396,21.303,19.957,19.787,18.733,18.887,19.666,20.792,22.17
19,RED,Roca Redonda,Isabela,"N 00º16,236´","W 091º 37,589´",0.2706,-91.6264833333333,20.214,21.466,21.571,20.239,20.858,21.058,21.398,20.385,20.192,20.925,22.208,22.678
20,SOMB,Sombrero Chino,Santiago,"S 00º21,049´","W 090º 34,110´",-0.350816666666667,-90.5685,22.769,24.969,26.007,25.504,25.703,23.301,22.819,22.523,22.124,22.46,22.964,23.86
21,STAFE,Bahía Santa fe,Santa Fe,"S 00º47,969´","W 090º 02,847´",-0.799483333333333,-90.04745,22.015,24.019,24.682,24.619,24.722,22.646,22.107,21.799,21.429,21.797,22.536,23.339
22,SUAR,Punta Suárez,Española,"S 01º21,034´","W 089º 42,626´",-1.35056666666667,-89.7104333333333,21.201,22.938,23.552,24.689,23.88,21.873,21.574,21.118,20.704,21.402,21.738,22.837
23,TOR,Isla Tortuga,Isabela,"S 01º00,703´","W 090º 52,602´",-1.01171666666667,-90.8767,22.337,23.786,23.24,24.404,25.068,23.369,22.302,22.009,21.367,22.067,22.802,23.695
