"","SiteID","Location","island","latitude","longitude","EcoRegion","lat2","lon2"
"1","BAR","Barahona Beach","Isabela","S 01º02,325´","W 091º 09,382´","Western",-1.03875,-91.1563666666667
"2","CDOU","Cabo Douglas","Fernandina","S 00º18,169´","W 091º 39,104´","Western",-0.302816666666667,-91.6517333333333
"3","CHAM","Cabo Hammond","Fernandina","S 00º28,175´","W 091º 36,671´","Western",-0.469583333333333,-91.6111833333333
"4","CMAR","Cabo Marshall","Isabela","S 00º00,080´","W 091º 13,431´","CSouthEastern",-0.00133333333333333,-91.22385
"5","CORA","Salvaje de Corazón","Genovesa","N 00º18,679´","W 089º 58,509´","Northern",0.311316666666667,-89.97515
"6","CUEV","Las Cuevas","Floreana","S 01º15,201´","W 090º 22,446´","CSouthEastern",-1.25335,-90.3741
"7","DAPH","Daphne Mayor","Seymour","S 00º25,548´","W 090º 22,327´","CSouthEastern",-0.4258,-90.3721166666667
"8","EGAS","Cerca a Puerto Egas","Santiago","S 00º15,576´","W 090º 52,127´","CSouthEastern",-0.2596,-90.8687833333333
"9","ELI","Marielas-Bahia Elizabeth","Isabela","S 00º35,703´","W 091º 05,154´","Elizabeth",-0.59505,-91.0859
"10","GARD","Bahía Gardner","Española","S 01º21,928´","W 089º 38,359´","CSouthEastern",-1.36546666666667,-89.6393166666667
"11","PCAL","Punta Calle","Marchena","N 00º17,186´","W 090º 30,109´","Northern",0.286433333333333,-90.5018166666667
"12","PESP","Punta Espinosa","Fernandina","S 00º16,337´","W 091º 26,123´","Western",-0.272283333333333,-91.4353833333333
"13","PIN","Cabo Ibbetson","Pinta","N 00º36,233´","W 090º 47,390´","Northern",0.603883333333333,-90.7898333333333
"14","PLAZ","Islas Plaza","Santa Cruz","S 00º34,054´","W 090º 10,417´","CSouthEastern",-0.567566666666667,-90.1736166666667
"15","PMAN","Punta Mangle","Fernandina","S 00º27,514´","W 091º 23,450´","Elizabeth",-0.458566666666667,-91.3908333333333
"16","PMOR","Punta Moreno","Isabela","S 00º43,338´","W 091º 20,704´","Western",-0.7223,-91.3450666666667
"17","PROJ","Playa Roja","Rábida","S 00º24,537´","W 090º 42,932´","CSouthEastern",-0.40895,-90.7155333333333
"18","PVIC","Punta Vicente Roca","Isabela","S 00º02,722´","W 091º 32,581´","Western",-0.0453666666666667,-91.5430166666667
"19","RED","Roca Redonda","Isabela","N 00º16,236´","W 091º 37,589´","Western",0.2706,-91.6264833333333
"20","SOMB","Sombrero Chino","Santiago","S 00º21,049´","W 090º 34,110´","CSouthEastern",-0.350816666666667,-90.5685
"21","STAFE","Bahía Santa fe","Santa Fe","S 00º47,969´","W 090º 02,847´","CSouthEastern",-0.799483333333333,-90.04745
"22","SUAR","Punta Suárez","Española","S 01º21,034´","W 089º 42,626´","CSouthEastern",-1.35056666666667,-89.7104333333333
"23","TOR","Isla Tortuga","Isabela","S 01º00,703´","W 090º 52,602´","Western",-1.01171666666667,-90.8767
